SITE,DTS,COUNTID,LANE,DIR,SPD,AX,GW_TOT,HEADT,GAPT,LENTH,CS,AWT01,AWT02,AWT03,AWT04,AWT05,AWT06,AWT07,AWT08,AWT09,W1_2,W2_3,W3_4,W4_5,W5_6,W6_7,W7_8,W8_9,TYPE
405,20000110T113141,99651,1,1,100,2,6450,5.7,5.6,579,1,4890,1560,0,0,0,0,0,0,0,326,0,0,0,0,0,0,0,11
405,20000110T113145,99652,1,1,85,4,14290,3.9,3.7,1493,6,5150,3580,2740,2820,0,0,0,0,0,388,713,137,0,0,0,0,0,112
405,20000110T113205,99653,1,1,85,4,9010,3.2,3,718,4,2120,2190,2260,2440,0,0,0,0,0,150,239,137,0,0,0,0,0,22
405,20000110T113206,99654,1,1,82,4,14920,1.7,1.4,696,4,4210,4090,3450,3170,0,0,0,0,0,170,281,137,0,0,0,0,0,22
405,20000110T113244,99655,1,1,85,5,7520,6.4,6.2,1396,6,2030,2300,1060,970,1160,0,0,0,0,362,581,102,96,0,0,0,0,113
405,20000110T113333,99656,1,1,87,5,18470,7,6.8,1458,6,6880,3980,2460,2600,2550,0,0,0,0,353,584,132,134,0,0,0,0,113
405,20000110T113536,99657,1,1,91,4,12420,6.4,6.2,759,4,4190,4190,2040,2000,0,0,0,0,0,150,304,135,0,0,0,0,0,22
405,20000110T113623,99658,1,1,90,4,14380,4.5,4.4,1659,5,6370,4400,1750,1860,0,0,0,0,0,556,732,116,0,0,0,0,0,112
405,20000110T113703,99659,1,1,92,2,7920,6.1,5.9,775,4,4250,3670,0,0,0,0,0,0,0,520,0,0,0,0,0,0,0,11
405,20000110T113718,99660,1,1,94,2,11010,3.8,3.7,885,3,5050,5960,0,0,0,0,0,0,0,630,0,0,0,0,0,0,0,11
405,20000110T113728,99661,1,1,91,2,6200,6,5.8,630,4,3130,3070,0,0,0,0,0,0,0,375,0,0,0,0,0,0,0,11
405,20000110T113734,99662,1,1,85,4,12530,5.4,5.2,1732,5,6140,3830,1910,650,0,0,0,0,0,523,584,462,0,0,0,0,0,1111
405,20000110T113739,99663,1,1,85,5,13420,5.5,4.7,1770,5,4210,2150,2740,2100,2220,0,0,0,0,483,138,527,452,0,0,0,0,1211
405,20000110T113752,99664,1,1,88,5,25940,6.2,6,1499,6,6920,9360,2950,3250,3460,0,0,0,0,370,600,141,133,0,0,0,0,113
405,20000110T113839,99665,1,1,87,4,16030,0.8,0.7,1818,5,6350,4150,3140,2390,0,0,0,0,0,551,521,491,0,0,0,0,0,1111
405,20000110T113912,99666,1,1,88,4,28340,1.2,1.1,1877,5,7670,8000,7440,5230,0,0,0,0,0,534,591,497,0,0,0,0,0,1111
405,20000110T114119,99667,1,1,90,5,20490,1.2,1.1,1465,6,6590,4740,2810,3940,2410,0,0,0,0,365,583,132,130,0,0,0,0,113
405,20000110T114314,99668,1,1,88,4,15010,2.1,1.9,838,7,2880,3590,5350,3190,0,0,0,0,0,192,258,133,0,0,0,0,0,22
405,20000110T114347,99669,1,1,87,3,17130,1.2,1.1,1053,6,6110,4970,6050,0,0,0,0,0,0,384,414,0,0,0,0,0,0,111
405,20000110T114504,99670,1,1,88,2,11030,4.4,4.3,753,4,6180,4850,0,0,0,0,0,0,0,498,0,0,0,0,0,0,0,11
405,20000110T114601,99671,1,1,83,4,8080,4.9,4.7,1428,5,3390,3290,600,800,0,0,0,0,0,450,633,114,0,0,0,0,0,112
405,20000110T114604,99672,1,1,85,2,8700,2.9,2.3,753,4,5110,3590,0,0,0,0,0,0,0,498,0,0,0,0,0,0,0,11
405,20000110T114612,99673,1,1,87,4,15700,5.6,5.5,1430,6,6460,3940,2950,2350,0,0,0,0,0,387,649,139,0,0,0,0,0,112
